# tools/isa-payload.tsv -- the population `probe4` probes, one row per encoding.
#
# THIS IS THE OWNER.  `tools/isapay.py emit` generates the payload's cells and
# its row table from this file; nothing else may declare a probed encoding.
#
# WHY THIS IS NOT `tools/isa-census.tsv`.  That file is the PRIOR-ART census
# (`R1-pub-0`) and `docs/isa-prior-art.md` § 0 states in its own words that it
# "does not claim ... that the population is the ISA" and that "an instruction
# this core obviously has, and that the loader executes thousands of times per
# boot, gets no row".  The instructions it excludes by that rule are exactly
# `R1a`'s POSITIVE CONTROL -- `plan/router-rebuild-plan.md:1013`, restated as a
# pass condition at `:1074`.  So the payload's population is rebuilt from the
# plan's nine groups and then JOINED to the census, in both directions, by
# `isapay.py population`.  A row in one and not the other is a reportable
# difference, never a silent one.
#
# COLUMNS (tab-separated; no `|` anywhere -- `spec-check` C8 counts cells by pipe)
#
#   group    plan group this row belongs to.  `isapay population` checks every
#            plan group has at least one row, so deleting a group is loud.
#   name     unique.  Joined against `tools/isa-census.tsv`'s `name`.
#   shape    which cell template the generator instantiates.
#   fields   the encoding, as fields.  `isapay encode` builds a word from these.
#   word     the same encoding, as a literal.  WRITTEN BY HAND.  `encode`
#            refuses if the two disagree -- and `isapay verify` disassembles the
#            BUILT ARTEFACT and refuses if binutils decodes it as anything but
#            this row, which is the third and only conceptually independent
#            source.
#   in_a     -> $8    hex
#   in_b     -> $9    hex
#   mem0     -> the word at 0($10)   hex
#   mem1     -> the word at 4($10)   hex
#   seed     -> $2 before the probed instruction.  A row whose `expect` equals
#            its `seed` is REFUSED: "wrote the right answer" and "wrote nothing"
#            would be one reading.
#   read     which recorded word `expect` is about: gpr / m0 / m1 / aux.
#   expect   the single computable constant.  `-` for a row with no answer.
#   qemu     PRE-REGISTERED prediction for the qemu leg: run / trap.
#   why      one line.  No tabs, no pipes.
#
group	name	shape	fields	word	in_a	in_b	mem0	mem1	seed	read	expect	qemu	why
unaligned	swl	store	op=0x2A,rs=10,rt=9,imm=1	0xA9490001	0x00000000	0x5A5A0FF2	0xA5A5F00D	0x5A5A0FF2	0xDEADBEEF	m0	0xA55A5A0F	run	Three bytes written at offset 1, one kept
unaligned	swr	store	op=0x2E,rs=10,rt=9,imm=2	0xB9490002	0x00000000	0x5A5A0FF2	0xA5A5F00D	0x5A5A0FF2	0xDEADBEEF	m0	0x5A0FF20D	run	Three bytes written ending at offset 2, one kept
mips2	ll	load	op=0x30,rs=10,rt=2,imm=0	0xC1420000	0x00000000	0x00000000	0x0000A5F0	0x5A5A0FF2	0xDEADBEEF	gpr	0x0000A5F0	run	The row the plan calls the one that decides libc, and 量 2026-09-13 it is NOT what its name says on a MIPS-I decoder: opcode 0x30 is lwc0 there and became ll at MIPS-II. So not trapping would NOT show ll exists -- it could be lwc0 writing CP0 register 2. The three-way verdict already separates them: ll writes the GPR and reads RIGHT, lwc0 writes a CP0 register and leaves the GPR at its seed, which reads WRONG. mem0 is 0x0000A5F0 and not a full-width pattern because that word is what lwc0 would write into a CP0 register whose identity this project has not read
mips2	sc	store	op=0x38,rs=10,rt=9,imm=0	0xE1490000	0x00000000	0x5A5A0FF2	0xA5A5F00D	0x00000000	0xDEADBEEF	m0	-	run	NO EXPECTATION AND THAT IS THE HONEST ANSWER. Without a preceding ll to the same address a correct sc has an unspecified outcome. And 量 2026-09-13 the same dual meaning as its partner: opcode 0x38 is swc0 in MIPS-I. That direction is safe -- swc0 READS a CP0 register and stores it, so the value landing in mem0 would itself be a reading of CP0 register 9. The value is recorded either way
mips32r1	clz	alu	op=0x1C,rs=8,rt=2,rd=2,fn=0x20	0x71021020	0x00F00000	0x00000000	0x00000000	0x00000000	0xDEADBEEF	gpr	0x00000008	run	The plan's own worked example -- clz 0x00F00000 is 8
mips32r1	clo	alu	op=0x1C,rs=8,rt=2,rd=2,fn=0x21	0x71021021	0xFF000000	0x00000000	0x00000000	0x00000000	0xDEADBEEF	gpr	0x00000008	run	Its mirror, so a core that has one and not the other is visible
mips32r1	mul	alu	op=0x1C,rs=8,rt=9,rd=2,fn=0x02	0x71091002	0x12345678	0x00000010	0x00000000	0x00000000	0xDEADBEEF	gpr	0x23456780	run	Same product as the mult row, delivered to a GPR instead of LO -- so the two rows disagreeing is itself a reading
mips32r1	madd	machilo	op=0x1C,rs=8,rt=9,fn=0x00	0x71090000	0x12345678	0x00000010	0x00000000	0x00000000	0xDEADBEEF	gpr	0x13526780	run	The accumulator is PRIMED to a known value by the machilo template, which is what turns a multiply-accumulate from a trap-only row into one with all three verdicts. HI:LO starts at 0x0BAD0000F00D0000 and the product is in_a shifted left four
mips32r1	madd_hi	machilo	op=0x1C,rs=8,rt=9,fn=0x00	0x71090000	0x12345678	0x00000010	0x00000000	0x00000000	0xDEADBEEF	aux	0x0BAD0002	run	The same encoding read from HI. The carry out of the low half is what makes this 0x0BAD0002 and not 0x0BAD0001 -- a core that added the halves independently answers the wrong one
mips32r1	movz	alu	op=0,rs=8,rt=9,rd=2,fn=0x0A	0x0109100A	0x0000002A	0x00000000	0x00000000	0x00000000	0xDEADBEEF	gpr	0x0000002A	run	in_b is zero so the move happens. The other arm is unmeasurable here -- a movz that correctly does NOT move leaves the seed, which is what not executing leaves
mips32r1	movn	alu	op=0,rs=8,rt=9,rd=2,fn=0x0B	0x0109100B	0x0000002A	0x00000001	0x00000000	0x00000000	0xDEADBEEF	gpr	0x0000002A	run	in_b is non-zero so the move happens
mips32r1	sync	alu	op=0,fn=0x0F	0x0000000F	0x00000000	0x00000000	0x00000000	0x00000000	0xDEADBEEF	gpr	-	run	The vendor kernel emulates this as a no-op, which is why it may not be measured under Linux. Bare metal, no expectation -- it computes nothing
mips32r1	pref	load	op=0x33,rs=10,rt=0,imm=0	0xCD400000	0x00000000	0x00000000	0xA5A5F00D	0x5A5A0FF2	0xDEADBEEF	gpr	-	run	THE SAME WORD IS TWO INSTRUCTIONS. Opcode 0x33 is lwc3 in MIPS-I and pref at MIPS32, so a MIPS-I decoder names this lwc3 and qemu's 24Kf executes it as a hint. This row exists to ask which machine this die is
mips32r2	ext	alu	op=0x1F,rs=8,rt=2,rd=7,sh=8,fn=0x00	0x7D023A00	0x12345678	0x00000000	0x00000000	0x00000000	0xDEADBEEF	gpr	0x00000056	run	Eight bits from position eight. rd carries size-1 and sh carries pos
mips32r2	ins	alu	op=0x1F,rs=8,rt=2,rd=15,sh=8,fn=0x04	0x7D027A04	0x12345678	0x00000000	0x00000000	0x00000000	0xDEADBEEF	gpr	0xDEAD78EF	run	The only row whose answer DEPENDS on the seed: ins writes a field into rt and keeps the rest, so the seed is an operand here and not a sentinel
mips32r2	rotr	alu	op=0,rs=1,rt=9,rd=2,sh=8,fn=0x02	0x00291202	0x00000000	0x12345678	0x00000000	0x00000000	0xDEADBEEF	gpr	0x78123456	run	rs is 1 and that bit is what separates rotr from srl -- a core that ignores it computes srl and answers 0x00123456, which is the WRONG cell doing its job
mips32r2	seb	alu	op=0x1F,rt=9,rd=2,sh=0x10,fn=0x20	0x7C091420	0x00000000	0x123456F0	0x00000000	0x00000000	0xDEADBEEF	gpr	0xFFFFFFF0	run	Low byte 0xF0 sign-extends to all ones in the top three bytes
mips32r2	wsbh	alu	op=0x1F,rt=9,rd=2,sh=2,fn=0x20	0x7C0910A0	0x00000000	0x12345678	0x00000000	0x00000000	0xDEADBEEF	gpr	0x34127856	run	Bytes swapped within each halfword. Same fn as seb -- sh is the whole difference, which is why both are here
mips32r2	synci	alu	op=1,rs=10,rt=0x1F,imm=0	0x055F0000	0x00000000	0x00000000	0x00000000	0x00000000	0xDEADBEEF	gpr	-	run	REGIMM with rt 0x1F. No expectation -- it computes nothing
mips32r2	rdhwr	alu	op=0x1F,rt=2,rd=29,fn=0x3B	0x7C02E83B	0x00000000	0x00000000	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0A	The plan flags this one: on a sister core it takes a PAGE FAULT rather than RI, so any ExcCode other than 10 here is a finding and not an error
cop1	mfc1	alu	op=0x11,rt=2,rd=0	0x44020000	0x00000000	0x00000000	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0B	CU1 IS NOT SET BY THIS PAYLOAD, so a Coprocessor Unusable verdict does not separate no FPU from FPU disabled. What it does separate is CpU from RI -- ExcCode 11 means the opcode decodes as a coprocessor instruction at all, and 10 means it does not
cop1	lwc1	load	op=0x31,rs=10,rt=0,imm=0	0xC5400000	0x00000000	0x00000000	0xA5A5F00D	0x5A5A0FF2	0xDEADBEEF	gpr	-	trap:0x0B	Same CU1 caveat
cop1	swc1	store	op=0x39,rs=10,rt=0,imm=0	0xE5400000	0x00000000	0x00000000	0xA5A5F00D	0x00000000	0xDEADBEEF	m0	-	trap:0x0B	Same CU1 caveat. Read from memory so a store that happened is visible
cop1	ldc1	load	op=0x35,rs=10,rt=0,imm=0	0xD5400000	0x00000000	0x00000000	0xA5A5F00D	0x5A5A0FF2	0xDEADBEEF	gpr	-	trap:0x0B	Same CU1 caveat
cop1	sdc1	store	op=0x3D,rs=10,rt=0,imm=0	0xF5400000	0x00000000	0x00000000	0xA5A5F00D	0x00000000	0xDEADBEEF	m0	-	trap:0x0B	Same CU1 caveat
cop3	mfc3	alu	op=0x13,rt=2,rd=0	0x4C020000	0x00000000	0x00000000	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0B	量 2026-08-29 on this die with CU3 SET AND HELD: eight reads, zero traps. CU3 is not set here, so this row is the control on that one -- the same encoding without the enable
cop3	mtc3	alu	op=0x13,rs=4,rt=9	0x4C890000	0x00000000	0x5A5A0FF2	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0B	Writes a COP3 register. Safe in a way mtlxc0 is not: COP3 is a coprocessor this core may not have, where LXC0 register 0 is a CP0 register whose identity is unread
cop3	cfc3	alu	op=0x13,rs=2,rt=2	0x4C420000	0x00000000	0x00000000	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0B	The control-register half of the same move pair
cop3	lwc3	load	op=0x33,rs=10,rt=2,imm=0	0xCD420000	0x00000000	0x00000000	0xA5A5F00D	0x5A5A0FF2	0xDEADBEEF	gpr	-	run	The same opcode as the pref row with a different destination. On qemu's MIPS32 both are pref and both run
cop3	swc3	store	op=0x3B,rs=10,rt=9,imm=0	0xED490000	0x00000000	0x5A5A0FF2	0xA5A5F00D	0x00000000	0xDEADBEEF	m0	-	trap:0x0A	Opcode 0x3B was swc3 in MIPS-I and is unassigned at MIPS32, so qemu should refuse it where the die may not
lexra-cp0	mflxc0	alu	op=0x10,rs=3,rt=2,rd=0	0x40620000	0x00000000	0x00000000	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0A	COP0 with rs 3, which MIPS leaves unassigned. It READS. Its write-side twin mtlxc0 is deliberately absent: writing an unidentified CP0 register on the one device this project has is not a measurement worth a board
census	beql	branch	op=0x14,rs=8,rt=9,imm=4	0x51090004	0x0000002A	0x0000002A	0x00000000	0x00000000	0xDEADBEEF	gpr	0x00000600	run	MIPS-II branch-likely. Operands equal so TAKEN, and the nullified delay slot is a nop either way so it cannot confound the reading
census	bnel	branch	op=0x15,rs=8,rt=9,imm=4	0x55090004	0x0000002A	0x0000002B	0x00000000	0x00000000	0xDEADBEEF	gpr	0x00000600	run	Operands UNEQUAL so this one is taken too -- chosen that way so no branch row's RIGHT is its own pre-set value
census	blezl	branch	op=0x16,rs=8,rt=0,imm=4	0x59000004	0xFFFFFFFF	0x00000000	0x00000000	0x00000000	0xDEADBEEF	gpr	0x00000600	run	in_a is minus one, so the signed comparison is TAKEN and a core that compared unsigned would not take it
census	bgtzl	branch	op=0x17,rs=8,rt=0,imm=4	0x5D000004	0x0000002A	0x00000000	0x00000000	0x00000000	0xDEADBEEF	gpr	0x00000600	run	Its mirror
census	cache10	alu	op=0x2F,rs=10,rt=0x10,imm=0	0xBD500000	0x00000000	0x00000000	0xA5A5F00D	0x5A5A0FF2	0xDEADBEEF	gpr	-	run	C3. 量 2026-08-29: all four of these retired on this die. Re-run rather than quoted, because a n=0 verdict elsewhere in this table is only a reading if something in the SAME capture came back n=0 legitimately
census	cache11	alu	op=0x2F,rs=10,rt=0x11,imm=0	0xBD510000	0x00000000	0x00000000	0xA5A5F00D	0x5A5A0FF2	0xDEADBEEF	gpr	-	run	C3. Hit Invalidate D on the scratch line -- it may discard the line the cell is about to read back, so this row's m0 and m1 are not evidence about memory
census	cache15	alu	op=0x2F,rs=10,rt=0x15,imm=0	0xBD550000	0x00000000	0x00000000	0xA5A5F00D	0x5A5A0FF2	0xDEADBEEF	gpr	-	run	C3
census	cache19	alu	op=0x2F,rs=10,rt=0x19,imm=0	0xBD590000	0x00000000	0x00000000	0xA5A5F00D	0x5A5A0FF2	0xDEADBEEF	gpr	-	run	C3
census	mfc2	alu	op=0x12,rt=2,rd=0	0x48020000	0x00000000	0x00000000	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0B	COP2 is the one opcode hazlint deliberately does NOT carry, and the census cites that omission as its own row. This is the first time anything has executed it
traps	teq	alu	op=0,rs=8,rt=9,fn=0x34	0x01090034	0x0000002A	0x0000002A	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0D	Operands chosen so the trap condition is TRUE. A core with these instructions raises ExcCode 13; one without raises 10; one that retires with neither is the third cell
traps	tne	alu	op=0,rs=8,rt=9,fn=0x36	0x01090036	0x0000002A	0x0000002B	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0D	Condition true
traps	tge	alu	op=0,rs=8,rt=9,fn=0x30	0x01090030	0x0000002B	0x0000002A	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0D	Condition true, signed
traps	tgeu	alu	op=0,rs=8,rt=9,fn=0x31	0x01090031	0x0000002B	0x0000002A	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0D	Condition true, unsigned
traps	tlt	alu	op=0,rs=8,rt=9,fn=0x32	0x01090032	0x0000002A	0x0000002B	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0D	Condition true, signed
traps	tltu	alu	op=0,rs=8,rt=9,fn=0x33	0x01090033	0x0000002A	0x0000002B	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0D	Condition true, unsigned. ISA_TRAPS has no 0x35 and this table does not invent one
ase	madh	machilo	op=0x3C,rs=8,rt=9,fn=0x00	0xF1090000	0x12345678	0x00000010	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0A	THE TROPHY ROW. Lexra's own MAC group, encoding read out of the public binutils-2.24 patch line 1560, membership RLXA which includes INSN_4181 -- this core. Semantics NOT read, so no expectation; what the primed accumulator buys is that unchanged and changed are different readings
ase	madl	machilo	op=0x3C,rs=8,rt=9,fn=0x02	0xF1090002	0x12345678	0x00000010	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0A	Patch line 1561, RLXA
ase	mazh	machilo	op=0x3C,rs=8,rt=9,fn=0x04	0xF1090004	0x12345678	0x00000010	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0A	Patch line 1562, RLXA
ase	mazl	machilo	op=0x3C,rs=8,rt=9,fn=0x06	0xF1090006	0x12345678	0x00000010	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0A	Patch line 1563, RLXA
ase	msbh	machilo	op=0x3C,rs=8,rt=9,fn=0x10	0xF1090010	0x12345678	0x00000010	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0A	Patch line 1564, RLXA
ase	msbl	machilo	op=0x3C,rs=8,rt=9,fn=0x12	0xF1090012	0x12345678	0x00000010	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0A	Patch line 1565, RLXA
ase	mszh	machilo	op=0x3C,rs=8,rt=9,fn=0x14	0xF1090014	0x12345678	0x00000010	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0A	Patch line 1566, RLXA
ase	mszl	machilo	op=0x3C,rs=8,rt=9,fn=0x16	0xF1090016	0x12345678	0x00000010	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0A	Patch line 1567, RLXA
ase	ltw	load	op=0x1E,rs=10,fn=0x3C	0x7940003C	0x00000000	0x00000000	0xA5A5F00D	0x5A5A0FF2	0xDEADBEEF	gpr	-	trap:0x0A	THE SHARPEST ASE ROW. Patch line 1568, and its membership is INSN_4181 OR INSN_4281 -- not a family macro but this core and its sibling, by name. The destination fields are left at zero because their layout is not read, so it writes register zero and only the base is chosen
ase	udi0i	alu	op=0x18,rs=8,rt=2,imm=0	0x61020000	0x12345678	0x00000000	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0A	User-defined instruction, immediate form. Patch line 1571, RLXB. Opcode 0x18 is daddi on MIPS64 and Lexra reuses it, so a MIPS32 core raises RI here
ase	udi1i	alu	op=0x19,rs=8,rt=2,imm=0	0x65020000	0x12345678	0x00000000	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0A	Patch line 1572, RLXB
ase	udi2i	alu	op=0x1A,rs=8,rt=2,imm=0	0x69020000	0x12345678	0x00000000	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0A	Patch line 1573, RLXB
ase	udi3i	alu	op=0x1B,rs=8,rt=2,imm=0	0x6D020000	0x12345678	0x00000000	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0A	Patch line 1574, RLXB
ase	udi0	alu	op=0,rs=8,rt=9,rd=2,fn=0x38	0x01091038	0x12345678	0x00000010	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0A	User-defined instruction, register form, RLXB. SPECIAL function 0x38 is dsll on MIPS64. The destination is rd and it is $2, so whatever it computes is contained
ase	udi1	alu	op=0,rs=8,rt=9,rd=2,fn=0x3A	0x0109103A	0x12345678	0x00000010	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0A	RLXB
ase	udi2	alu	op=0,rs=8,rt=9,rd=2,fn=0x3B	0x0109103B	0x12345678	0x00000010	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0A	RLXB
ase	udi3	alu	op=0,rs=8,rt=9,rd=2,fn=0x3C	0x0109103C	0x12345678	0x00000010	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0A	RLXB
ase	udi4	alu	op=0,rs=8,rt=9,rd=2,fn=0x3E	0x0109103E	0x12345678	0x00000010	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0A	RLXB
ase	udi5	alu	op=0,rs=8,rt=9,rd=2,fn=0x3F	0x0109103F	0x12345678	0x00000010	0x00000000	0x00000000	0xDEADBEEF	gpr	-	trap:0x0A	RLXB. sdbbp is 0x7000003f in SPECIAL2 and this is SPECIAL -- two different encodings the patch gives two different names
