# tools/citecheck-baseline.tsv -- the rot that was already there.
#
# Generated by `tools/citecheck.py --write-baseline` and reviewed by
# hand.  A row here says: this citation is rotted, it is KNOWN, and it
# is not what this gate is looking for.  The gate fails on anything
# new.
#
# 🔴 KEYED ON CONTENT, NOT ON A LINE NUMBER.  A baseline keyed on the
# line a citation points at would rot exactly like the citations it
# describes.  The key is
#
#     kind  citing-file  cited-path  cited-line  sha256-16
#
# where the digest is of the cited row's content AT THE COMMIT THAT
# LAST WROTE THE CITING LINE.  Repair the citation and the citing
# line's blame moves, the digest changes, and the row stops matching
# -- which citecheck's C4 REPORTS, because a baseline that can only
# grow is a list nobody reads.  Delete the row in the same commit as
# the repair.
#
# The note column is not part of the key.  It is the first 70
# characters of the row as it read when the citation was written, so a
# reviewer can see what the citation was for without running git.
#
# kind	citing-file	cited-path	cited-line	sha256-16	the row, then
ROT	SPEC.md	SOURCES.json	195	debb3001c59cec11	"cpu_claim": "'Embedded RISC CPU, RLX4181 with 16KB I-Cache, 8KB D-Cac
ROT	SPEC.md	config/rlxfw-src/linux-2.6.30/drivers/gpio/rtl819x-gpio.c	120	4141c46181ee6c1a	* 1. WHICH PORT LETTER BIT 5 IS. PABCD packs four ports into one word
ROT	SPEC.md	config/rlxfw-src/linux-2.6.30/drivers/clocksource/rtl819x-timer.c	476	6434cf036758c7c6	static int rtl819x_ack_proven; /* WE watched TC1IP go 1 -> 0 */
ROT	SPEC.md	config/rlxfw-src/linux-2.6.30/drivers/clocksource/rtl819x-timer.c	471	c296bd9571bdf7ac	spin_lock_irqsave(&rtl819x_tc_lock, flags);
ROT	SPEC.md	tools/console-capture.py	431	f5d6833b72eabd21	meta["started_wallclock"] = time.strftime("%Y-%m-%dT%H:%M:%S%z")
ROT	SPEC.md	tools/console-capture.py	462	fe65d0cd4a7cc378	timing.write(f"{offset} {time.monotonic() - t0:.6f}\n")
ROT	SPEC.md	tools/rlxfw-kbuild.sh	412	327b72644d48cdd9	esac
ROT	SPEC.md	tools/console-capture.py	373	13441e73708565fb	r, _, _ = select.select([fd], [], [], min(remaining, 0.05))
ROT	SPEC.md	SOURCES.json	195	c6d73b3361c318dd	"pinmux": "sec 6.1 Configuration upon Power-On Strapping, sec 6.2 Shar
ROT	docs/FINDINGS.md	docs/FINDINGS.md	375	c91c9b040875e0fb	## It changed what this repository may claim about itself
ROT	docs/FINDINGS.md	tools/console-capture.py	430	cacf9733abd348fc	t0 = time.monotonic()
ROT	docs/KNOWN-ISSUES.md	config/rlxfw-kernel.delta	82	5ff8ac5ee469b923	derive CONFIG_GENERIC_GPIO - y selected drivers/gpio/Kconfig:31 -- `me
ROT	docs/KNOWN-ISSUES.md	notes/timer-driver.md	273	415d2c4eb64624a2	`kernel/time/jiffies.c:37` — `NSEC_PER_JIFFY` is `((u64)NSEC_PER_SEC <
ROT	docs/blind-write-ledger.md	docs/FINDINGS.md	375	c91c9b040875e0fb	## It changed what this repository may claim about itself
ROT	docs/blind-write-ledger.md	notes/timer-driver.md	273	415d2c4eb64624a2	`kernel/time/jiffies.c:37` — `NSEC_PER_JIFFY` is `((u64)NSEC_PER_SEC <
ROT	docs/blind-write-ledger.md	notes/timer-driver.md	41	862ec0101d49b31f	⚠️ **An earlier draft of this sentence cited `kernel/time/timekeeping.
ROT	docs/blind-write-ledger.md	tools/ledgerscan.py	505	adcf3fd1b132405c	depth = "line" if withln else "name"
ROT	docs/blind-write-ledger.md	notes/kernel-build.md	3471	88d28a45bf60d6de	| **A** — `drivers/mtd/chips/rtl819x/spi_common.h:87` | `SFCR_SPI_CLK_
ROT	docs/blind-write-ledger.md	PROGRESS.md	1353	5453c2e11b271961	| **Last session but twenty-nine** | 🔴 **2026-08-25, desk only, second
ROT	docs/probe3-cells.md	SOURCES.json	195	debb3001c59cec11	"cpu_claim": "'Embedded RISC CPU, RLX4181 with 16KB I-Cache, 8KB D-Cac
ROT	docs/rlx-cache-and-cp0.md	SOURCES.json	195	debb3001c59cec11	"cpu_claim": "'Embedded RISC CPU, RLX4181 with 16KB I-Cache, 8KB D-Cac
ROT	docs/rlx-cache-and-cp0.md	docs/probe3-cells.md	855	629b45003d38781e	> 🔴 **And in the write-through branch the two survivors are not separa
ROT	notes/cache-model.md	SOURCES.json	195	debb3001c59cec11	"cpu_claim": "'Embedded RISC CPU, RLX4181 with 16KB I-Cache, 8KB D-Cac
ROT	notes/dev-loop.md	tools/console-capture.py	368	8120ab3315bbc42b	_fail(f"{p} exists. Refusing to overwrite a capture; use --force or a
ROT	notes/flash-digest-scope.md	SPEC.md	178	aea1cedcd624cc3f	| `FLS-14` 🔄 | 完整 dump | 4,194,304 bytes，`sha256 a800059a…10f37ea`，用 `
ROT	notes/gpio-driver.md	config/rlxfw-kernel.delta	82	5ff8ac5ee469b923	derive CONFIG_GENERIC_GPIO - y selected drivers/gpio/Kconfig:31 -- `me
ROT	notes/kernel-build.md	tools/console-capture.py	462	fe65d0cd4a7cc378	timing.write(f"{offset} {time.monotonic() - t0:.6f}\n")
ROT	notes/kernel-build.md	tools/ci-census.py	201	e4651339e13566e2	for label in skips:
ROT	notes/slots45-draft.md	SPEC.md	627	4da1ec6f47782090	|---|---|---|---|
