id	family	quantity	class	kind	A_values	A_n	A_raw_median	A_raw_min	A_raw_max	A_corr_median	A_corr_rule	spread	contains0	under20ms	s310	stable	reasons	load_bearing	B_rule	A_source	adjudication
SEG|rlxfw|loud|warm|kernel.wlan	SEG	rlxfw loud kernel.wlan	warm	board	5.135754,5.134660	2	5.135207	5.134660	5.135754	5.207593	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000107	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1L-r02-boot,P1L-r03-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|loud|warm|kernel.nic	SEG	rlxfw loud kernel.nic	warm	board	1.223827,1.223940	2	1.223883	1.223827	1.223940	1.241135	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000046	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1L-r02-boot,P1L-r03-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|loud|warm|kernel.late	SEG	rlxfw loud kernel.late	warm	board	3.138961,3.138946	2	3.138953	3.138946	3.138961	3.183200	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000002	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1L-r02-boot,P1L-r03-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|loud|warm|kernel.total	SEG	rlxfw loud kernel.total	warm	board	11.002774,11.001176	2	11.001975	11.001176	11.002774	11.157058	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000073	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1L-r02-boot,P1L-r03-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|loud|warm|rlxfw.setup	SEG	rlxfw loud rlxfw.setup	warm	board	0.275187,0.274089	2	0.274638	0.274089	0.275187	0.278509	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.001999	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1L-r02-boot,P1L-r03-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|loud|warm|rlxfw.initpost	SEG	rlxfw loud rlxfw.initpost	warm	board	0.011437,0.012033	2	0.011735	0.011437	0.012033	0.011900	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.025394	N	Y	-	N	under20ms	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1L-r02-boot,P1L-r03-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|loud|warm|user.ready	SEG	rlxfw loud user.ready	warm	board	0.116702,0.116062	2	0.116382	0.116062	0.116702	0.118023	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.002750	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1L-r02-boot,P1L-r03-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|loud|warm|boot.jump_to_ready	SEG	rlxfw loud boot.jump_to_ready	warm	board	12.361805,12.359429	2	12.360617	12.359429	12.361805	12.534851	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000096	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1L-r02-boot,P1L-r03-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|quiet|cold|rtkload.decompress	SEG	rlxfw quiet rtkload.decompress	cold	board	1.189148,1.187909	2	1.188529	1.187909	1.189148	1.219194	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000521	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P2Q-r01-boot,P3Q-r01-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|quiet|cold|rtkload.total	SEG	rlxfw quiet rtkload.total	cold	board	1.202405,1.201280	2	1.201842	1.201280	1.202405	1.232852	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000468	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P2Q-r01-boot,P3Q-r01-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|quiet|cold|kernel.early	SEG	rlxfw quiet kernel.early	cold	board	0.802961,0.802121	2	0.802541	0.802121	0.802961	0.823248	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000523	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P2Q-r01-boot,P3Q-r01-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|quiet|cold|kernel.wlan	SEG	rlxfw quiet kernel.wlan	cold	board	4.488393,4.482159	2	4.485276	4.482159	4.488393	4.601001	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000695	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P2Q-r01-boot,P3Q-r01-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|quiet|cold|kernel.nic	SEG	rlxfw quiet kernel.nic	cold	board	0.840555,0.839362	2	0.839959	0.839362	0.840555	0.861630	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000710	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P2Q-r01-boot,P3Q-r01-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	raw median: the exact median is x.5 us (v_seg.out); the brief's convention names no rounding mode, so segtable.md's printed value is kept (the spec's SEG source; card B § 3.7 prints the same) - A1; A2 printed half-even; class unaffected
SEG|rlxfw|quiet|cold|kernel.late	SEG	rlxfw quiet kernel.late	cold	board	3.092295,3.087148	2	3.089722	3.087148	3.092295	3.169439	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000833	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P2Q-r01-boot,P3Q-r01-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|quiet|cold|kernel.total	SEG	rlxfw quiet kernel.total	cold	board	9.224204,9.210790	2	9.217497	9.210790	9.224204	9.455319	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000728	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P2Q-r01-boot,P3Q-r01-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|quiet|cold|rlxfw.setup	SEG	rlxfw quiet rlxfw.setup	cold	board	0.045835,0.045650	2	0.045743	0.045650	0.045835	0.046923	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.002022	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P2Q-r01-boot,P3Q-r01-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	raw median: the exact median is x.5 us (v_seg.out); the brief's convention names no rounding mode, so segtable.md's printed value is kept (the spec's SEG source; card B § 3.7 prints the same) - A1; A2 printed half-even; class unaffected
SEG|rlxfw|quiet|cold|rlxfw.initpost	SEG	rlxfw quiet rlxfw.initpost	cold	board	0.011588,0.011458	2	0.011523	0.011458	0.011588	0.011820	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.005641	N	Y	-	N	under20ms	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P2Q-r01-boot,P3Q-r01-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|quiet|cold|user.ready	SEG	rlxfw quiet user.ready	cold	board	0.113928,0.112829	2	0.113378	0.112829	0.113928	0.116303	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.004847	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P2Q-r01-boot,P3Q-r01-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|quiet|cold|boot.jump_to_ready	SEG	rlxfw quiet boot.jump_to_ready	cold	board	10.540537,10.524899	2	10.532718	10.524899	10.540537	10.804474	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.000742	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P2Q-r01-boot,P3Q-r01-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|quiet|warm|rtkload.decompress	SEG	rlxfw quiet rtkload.decompress	warm	board	1.201430,1.201145,1.201179,1.201207,1.189683,1.187955	6	1.201162	1.187955	1.201430	1.218125	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.010995	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1Q-r01-boot,P1Q-r02-boot,P1Q-r03-boot,P1Q-r04-boot,P2Q-r02-boot,P3Q-r02-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|quiet|warm|rtkload.total	SEG	rlxfw quiet rtkload.total	warm	board	1.214962,1.215932,1.215751,1.213797,1.204797,1.202401	6	1.214380	1.202401	1.215932	1.232980	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.009864	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1Q-r01-boot,P1Q-r02-boot,P1Q-r03-boot,P1Q-r04-boot,P2Q-r02-boot,P3Q-r02-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|quiet|warm|kernel.early	SEG	rlxfw quiet kernel.early	warm	board	0.810694,0.809540,0.810345,0.811875,0.801947,0.802074	6	0.809943	0.801947	0.811875	0.821945	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.009872	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1Q-r01-boot,P1Q-r02-boot,P1Q-r03-boot,P1Q-r04-boot,P2Q-r02-boot,P3Q-r02-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	raw median: the exact median is x.5 us (v_seg.out); the brief's convention names no rounding mode, so segtable.md's printed value is kept (the spec's SEG source; card B § 3.7 prints the same) - A1; A2 printed half-even; class unaffected
SEG|rlxfw|quiet|warm|kernel.wlan	SEG	rlxfw quiet kernel.wlan	warm	board	4.533195,4.534946,4.533479,4.533046,4.489227,4.482950	6	4.533120	4.482950	4.534946	4.597239	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.011068	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1Q-r01-boot,P1Q-r02-boot,P1Q-r03-boot,P1Q-r04-boot,P2Q-r02-boot,P3Q-r02-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|quiet|warm|kernel.nic	SEG	rlxfw quiet kernel.nic	warm	board	0.848276,0.847862,0.848698,0.847604,0.839103,0.839458	6	0.847733	0.839103	0.848698	0.860023	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.010180	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1Q-r01-boot,P1Q-r02-boot,P1Q-r03-boot,P1Q-r04-boot,P2Q-r02-boot,P3Q-r02-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|quiet|warm|kernel.late	SEG	rlxfw quiet kernel.late	warm	board	3.121431,3.122019,3.121399,3.121911,3.090275,3.087729	6	3.121415	3.087729	3.122019	3.165674	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.010792	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1Q-r01-boot,P1Q-r02-boot,P1Q-r03-boot,P1Q-r04-boot,P2Q-r02-boot,P3Q-r02-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|quiet|warm|kernel.total	SEG	rlxfw quiet kernel.total	warm	board	9.313596,9.314367,9.313921,9.314436,9.220552,9.212211	6	9.313759	9.212211	9.314436	9.445436	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.010903	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1Q-r01-boot,P1Q-r02-boot,P1Q-r03-boot,P1Q-r04-boot,P2Q-r02-boot,P3Q-r02-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|quiet|warm|rlxfw.setup	SEG	rlxfw quiet rlxfw.setup	warm	board	0.046202,0.046625,0.046324,0.046393,0.046125,0.046074	6	0.046263	0.046074	0.046625	0.047136	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.007825	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1Q-r01-boot,P1Q-r02-boot,P1Q-r03-boot,P1Q-r04-boot,P2Q-r02-boot,P3Q-r02-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|quiet|warm|rlxfw.initpost	SEG	rlxfw quiet rlxfw.initpost	warm	board	0.011626,0.011798,0.011642,0.012498,0.011636,0.012336	6	0.011720	0.011626	0.012498	0.011939	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.066382	N	Y	-	N	under20ms	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1Q-r01-boot,P1Q-r02-boot,P1Q-r03-boot,P1Q-r04-boot,P2Q-r02-boot,P3Q-r02-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
SEG|rlxfw|quiet|warm|user.ready	SEG	rlxfw quiet user.ready	warm	board	0.114218,0.114490,0.115006,0.114354,0.113162,0.112057	6	0.114286	0.112057	0.115006	0.115914	raw / median(r_K,r_N,r_W) of the f6-rt4 window holding t0_mono	0.019504	N	N	-	Y	-	Y	boot-timeline --retro on seating B's RAW stamps, median per group; unchanged	bench/2026-09-23/Z9-D2.tsv (seg records: P1Q-r01-boot,P1Q-r02-boot,P1Q-r03-boot,P1Q-r04-boot,P2Q-r02-boot,P3Q-r02-boot); s109/segtable.tsv; s106/c-clock/f6-rt4.tsv + <capture>.meta.json t0_mono	
